ILCE,MAHALLE,Ortalama_Tuketim,Standart_Sapma,Yaz_Ortalama,Kis_Ortalama,Yazlikci_Skoru,Kume_No,Segment_Adi
KONAK,GÜNEŞ,"11,08","15,76","15,61","9,72","1,61",1,Standart Sakinler
KONAK,GÜNEŞLİ,"11,84","5,65","11,64","10,79","1,08",1,Standart Sakinler
KONAK,GÜNGÖR,"9,81","3,61","10,41","8,77","1,19",1,Standart Sakinler
KONAK,GÜZELYALI,"10,20","5,85","9,80","9,50","1,03",1,Standart Sakinler
KONAK,GÜZELYURT,"5,18","3,66","6,60","3,67","1,80",1,Standart Sakinler
KONAK,HALKAPINAR,"72,76","495,23","35,42","25,20","1,41",2,ANOMALİ (Aşırı Tüketim)
KONAK,HASAN ÖZDEMİR,"14,80","4,78","16,40","12,96","1,27",1,Standart Sakinler
KONAK,HURŞİDİYE,"6,67","2,38","7,23","6,08","1,19",1,Standart Sakinler
KONAK,HUZUR,"12,07","3,56","13,52","11,20","1,21",1,Standart Sakinler
KONAK,HİLAL,"16,73","4,84","19,37","16,67","1,16",1,Standart Sakinler
KONAK,KADİFEKALE,"14,71","4,91","16,76","12,74","1,32",1,Standart Sakinler
KONAK,KAHRAMAN MESCİT,"15,37","4,23","16,82","14,23","1,18",1,Standart Sakinler
KONAK,KAHRAMANLAR,"9,76","5,39","9,70","8,55","1,13",1,Standart Sakinler
KONAK,KEMAL REİS,"8,96","4,39","9,11","8,10","1,12",1,Standart Sakinler
KONAK,KESTELLİ,"7,97","5,15","8,88","7,54","1,18",1,Standart Sakinler
KONAK,KILIÇ REİS,"9,00","5,21","9,05","7,97","1,14",1,Standart Sakinler
KONAK,KOCAKAPI,"13,49","4,26","15,10","11,85","1,27",1,Standart Sakinler
KONAK,KOCATEPE,"12,19","5,37","13,06","10,61","1,23",1,Standart Sakinler
KONAK,KONAK,"49,72","23,97","43,11","49,99","0,86",3,Yüksek Gelir / Çok Tüketen
KONAK,KOSOVA,"13,88","3,49","16,33","12,02","1,36",1,Standart Sakinler
KONAK,KUBİLAY,"13,22","3,13","15,24","11,62","1,31",1,Standart Sakinler
KONAK,KURTULUŞ,"14,57","4,21","17,24","13,34","1,29",1,Standart Sakinler
KONAK,KÜLTÜR,"18,47","5,44","16,72","19,30","0,87",1,Standart Sakinler
KONAK,KÜÇÜKADA,"13,83","3,08","15,85","13,03","1,22",1,Standart Sakinler
KONAK,LALE,"12,26","4,38","14,03","11,25","1,25",1,Standart Sakinler
KONAK,LEVENT,"13,08","3,48","14,74","12,23","1,20",1,Standart Sakinler
KONAK,MECİDİYE,"8,84","2,21","9,98","8,13","1,23",1,Standart Sakinler
KONAK,MEHMET AKİF,"12,39","3,03","14,16","11,49","1,23",1,Standart Sakinler
KONAK,MEHMET ALİ AKMAN,"12,02","4,19","11,72","11,99","0,98",1,Standart Sakinler
KONAK,MEHTAP,"16,65","51,90","14,12","11,19","1,26",1,Standart Sakinler
KONAK,MERSİNLİ,"11,30","3,26","12,66","10,78","1,17",1,Standart Sakinler
KONAK,MURAT,"13,77","3,33","15,86","12,77","1,24",1,Standart Sakinler
KONAK,MURAT REİS,"8,90","4,82","8,87","8,10","1,10",1,Standart Sakinler
KONAK,MİLLET,"14,05","6,68","15,14","12,92","1,17",1,Standart Sakinler
KONAK,MİMAR SİNAN,"50,90","48,72","26,79","65,65","0,41",3,Yüksek Gelir / Çok Tüketen
KONAK,MİRALİ,"14,66","11,08","15,73","12,00","1,31",1,Standart Sakinler
KONAK,MİTHATPAŞA,"10,15","5,82","9,84","9,27","1,06",1,Standart Sakinler
KONAK,NAMAZGAH,"15,69","9,00","16,61","13,58","1,22",1,Standart Sakinler
KONAK,NAMIK KEMAL,"12,63","7,82","13,86","10,25","1,35",1,Standart Sakinler
KONAK,ODUNKAPI,"12,11","3,72","14,12","11,11","1,27",1,Standart Sakinler
KONAK,OĞUZLAR,"14,44","6,59","17,74","12,15","1,46",1,Standart Sakinler
KONAK,PAZARYERİ,"14,82","3,41","16,78","13,60","1,23",1,Standart Sakinler
KONAK,PİRİ REİS,"9,12","4,71","9,08","8,34","1,09",1,Standart Sakinler
KONAK,SAKARYA,"14,77","5,98","15,99","12,82","1,25",1,Standart Sakinler
KONAK,SAYGI,"12,66","3,65","14,34","11,65","1,23",1,Standart Sakinler
KONAK,SELÇUK,"12,48","7,99","12,98","10,41","1,25",1,Standart Sakinler
KONAK,SÜMER,"11,55","8,13","13,01","9,31","1,40",1,Standart Sakinler
KONAK,SÜVARİ,"14,71","4,29","17,47","12,67","1,38",1,Standart Sakinler
KONAK,TAN,"18,30","5,57","21,28","16,21","1,31",1,Standart Sakinler
KONAK,TINAZTEPE,"11,13","3,86","12,28","9,83","1,25",1,Standart Sakinler
KONAK,TRAKYA,"12,60","3,52","14,42","11,46","1,26",1,Standart Sakinler
KONAK,TURGUT REİS,"9,80","5,25","9,81","8,83","1,11",1,Standart Sakinler
KONAK,TUZCU,"13,70","3,28","15,86","12,03","1,32",1,Standart Sakinler
KONAK,TÜRKYILMAZ,"12,36","3,83","14,72","10,73","1,37",1,Standart Sakinler
KONAK,ULUBATLI,"12,12","3,97","13,39","11,07","1,21",1,Standart Sakinler
KONAK,UMURBEY,"10,95","4,95","11,67","10,82","1,08",1,Standart Sakinler
KONAK,UĞUR,"8,35","7,72","9,18","8,38","1,10",1,Standart Sakinler
KONAK,VEZİRAĞA,"17,93","20,68","15,85","19,07","0,83",1,Standart Sakinler
KONAK,YAVUZ SELİM,"12,89","4,84","14,32","11,60","1,23",1,Standart Sakinler
KONAK,YENİ,"14,40","3,63","16,80","12,52","1,34",1,Standart Sakinler
KONAK,YENİDOĞAN,"13,82","4,31","15,66","12,80","1,22",1,Standart Sakinler
KONAK,YENİGÜN,"8,85","3,87","9,56","8,77","1,09",1,Standart Sakinler
KONAK,YENİŞEHİR,"17,04","14,40","17,16","15,99","1,07",1,Standart Sakinler
KONAK,YEŞİLDERE,"12,17","3,49","14,14","10,43","1,36",1,Standart Sakinler
KONAK,YEŞİLTEPE,"12,55","4,83","12,83","11,61","1,11",1,Standart Sakinler
KONAK,YILDIZ,"11,60","3,63","13,33","10,65","1,25",1,Standart Sakinler
KONAK,ZAFERTEPE,"11,73","7,05","11,75","9,96","1,18",1,Standart Sakinler
KONAK,ZEYBEK,"12,30","4,01","13,66","11,24","1,22",1,Standart Sakinler
KONAK,ZEYTİNLİK,"11,38","4,09","12,22","10,32","1,18",1,Standart Sakinler
KONAK,ÇAHABEY,"10,07","2,85","11,74","8,66","1,36",1,Standart Sakinler
KONAK,ÇANKAYA,"11,38","5,72","10,89","10,81","1,01",1,Standart Sakinler
KONAK,ÇINARLI,"17,91","12,69","21,00","18,20","1,15",1,Standart Sakinler
KONAK,ÇINARTEPE,"13,67","4,83","15,31","13,14","1,16",1,Standart Sakinler
KONAK,ÇİMENTEPE,"14,04","8,32","14,53","11,35","1,28",1,Standart Sakinler
KONAK,ÜLKÜ,"15,27","3,36","17,43","13,79","1,26",1,Standart Sakinler
KONAK,İMARİYE,"52,87","35,16","90,00","55,42","1,62",3,Yüksek Gelir / Çok Tüketen
KONAK,İSMET KAPTAN,"8,52","3,76","8,68","8,22","1,06",1,Standart Sakinler
KONAK,İSMET PAŞA,"13,49","4,45","15,53","12,25","1,27",1,Standart Sakinler
KONAK,ŞEHİT NEDİM TUĞALTAY,"13,44","3,78","14,95","12,33","1,21",1,Standart Sakinler
KİRAZ,AHMETLER,"14,06","8,09","14,40","11,24","1,28",1,Standart Sakinler
KİRAZ,AKPINAR,"25,74","21,27","38,68","18,08","2,14",0,Yazlıkçı / Mevsimsel
KİRAZ,ALTINOLUK,"17,92","19,00","26,36","13,14","2,01",0,Yazlıkçı / Mevsimsel
KİRAZ,ARKACILAR,"43,37","68,73","63,96","38,35","1,67",3,Yüksek Gelir / Çok Tüketen
KİRAZ,AVUNDURUK,"34,50","34,64","50,31","21,49","2,34",0,Yazlıkçı / Mevsimsel
KİRAZ,AYDOĞDU,"31,48","22,48","35,53","32,85","1,08",1,Standart Sakinler
KİRAZ,BAŞARAN,"22,71","15,51","26,01","19,27","1,35",1,Standart Sakinler
KİRAZ,CERİTLER,"24,11","19,36","33,58","22,58","1,49",1,Standart Sakinler
KİRAZ,CUMHURİYET,"9,84","5,11","12,81","8,24","1,55",1,Standart Sakinler
KİRAZ,DOKUZLAR,"26,77","33,76","14,74","21,13","0,70",1,Standart Sakinler
KİRAZ,DOĞANCILAR,"22,24","25,02","24,63","18,52","1,33",1,Standart Sakinler
KİRAZ,EMENLER,"22,66","26,56","31,38","16,92","1,85",0,Yazlıkçı / Mevsimsel
KİRAZ,GEDİK,"21,22","17,84","32,29","13,51","2,39",0,Yazlıkçı / Mevsimsel
KİRAZ,HALİLLER,"32,29","26,81","48,80","19,83","2,46",0,Yazlıkçı / Mevsimsel
KİRAZ,HİSAR,"20,17","14,00","25,32","13,94","1,82",0,Yazlıkçı / Mevsimsel
KİRAZ,KALEKÖY,"27,37","39,30","32,96","22,20","1,48",1,Standart Sakinler
KİRAZ,KARABAĞ,"26,24","21,85","26,65","22,66","1,18",1,Standart Sakinler
KİRAZ,KARABULU,"15,13","15,93","15,64","11,29","1,39",1,Standart Sakinler
KİRAZ,KARABURÇ,"37,58","35,25","46,31","26,43","1,75",3,Yüksek Gelir / Çok Tüketen
KİRAZ,KARAMAN,"42,69","61,41","57,35","28,30","2,03",3,Yüksek Gelir / Çok Tüketen
KİRAZ,KIRKÖY,"11,45","6,82","16,23","8,58","1,89",1,Standart Sakinler
KİRAZ,KİBAR,"20,74","11,34","27,33","16,27","1,68",1,Standart Sakinler
KİRAZ,MAVİDERE,"19,75","31,69","16,75","13,31","1,26",1,Standart Sakinler
KİRAZ,MERSİNLİDERE,"22,33","30,88","29,71","23,09","1,29",1,Standart Sakinler
KİRAZ,OLGUNLAR,"24,31","29,86","25,11","29,66","0,85",1,Standart Sakinler
KİRAZ,OVACIK,"21,27","13,99","24,21","17,96","1,35",1,Standart Sakinler
KİRAZ,PINARBAŞI,"14,91","11,60","17,25","10,38","1,66",1,Standart Sakinler
KİRAZ,SARIKAYA,"24,95","23,42","32,96","17,40","1,89",0,Yazlıkçı / Mevsimsel
KİRAZ,SARISU,"38,27","56,41","48,43","30,15","1,61",3,Yüksek Gelir / Çok Tüketen
KİRAZ,SAÇLI,"28,29","23,50","32,79","24,08","1,36",1,Standart Sakinler
KİRAZ,SIRIMLI,"25,07","17,21","35,29","16,43","2,15",0,Yazlıkçı / Mevsimsel
KİRAZ,SOLAKLAR,"25,48","52,94","47,81","11,38","4,20",0,Yazlıkçı / Mevsimsel
KİRAZ,SULUDERE,"32,74","34,82","45,42","26,94","1,69",0,Yazlıkçı / Mevsimsel
KİRAZ,TAŞLIYATAK,"20,55","14,16","25,59","13,73","1,86",0,Yazlıkçı / Mevsimsel
KİRAZ,TEKBIÇAKLAR,"18,58","20,77","23,66","12,57","1,88",0,Yazlıkçı / Mevsimsel
KİRAZ,TUMBULLAR,"21,30","17,40","30,01","20,53","1,46",1,Standart Sakinler
KİRAZ,UMURCALI,"34,32","35,48","48,74","23,85","2,04",0,Yazlıkçı / Mevsimsel
KİRAZ,UMURLU,"14,43","10,95","15,85","11,06","1,43",1,Standart Sakinler
KİRAZ,UZUNKÖY,"14,59","10,99","15,37","14,11","1,09",1,Standart Sakinler
KİRAZ,VELİLER,"32,67","26,86","39,14","30,67","1,28",3,Yüksek Gelir / Çok Tüketen
KİRAZ,YAĞLAR,"37,57","33,47","43,05","28,20","1,53",3,Yüksek Gelir / Çok Tüketen
KİRAZ,YENİ,"9,65","4,67","12,59","7,86","1,60",1,Standart Sakinler
KİRAZ,YENİKÖY,"49,29","54,43","54,88","40,57","1,35",3,Yüksek Gelir / Çok Tüketen
KİRAZ,YENİŞEHİR,"47,59","129,53","41,12","27,55","1,49",3,Yüksek Gelir / Çok Tüketen
KİRAZ,YEŞİLDERE,"32,05","80,24","54,81","19,76","2,77",0,Yazlıkçı / Mevsimsel
KİRAZ,ÇANAKÇI,"28,68","22,13","32,98","22,93","1,44",1,Standart Sakinler
KİRAZ,ÇATAK,"21,61","51,08","15,61","38,30","0,41",1,Standart Sakinler
KİRAZ,ÇAYAĞZI,"37,39","30,57","47,81","26,40","1,81",0,Yazlıkçı / Mevsimsel
KİRAZ,ÇÖMLEKÇİ,"29,26","34,74","34,97","27,20","1,29",1,Standart Sakinler
KİRAZ,ÖREN,"22,86","37,95","26,74","16,58","1,61",1,Standart Sakinler
KİRAZ,ÖRENCİK,"21,25","18,03","23,35","13,43","1,74",1,Standart Sakinler
KİRAZ,İSTİKLAL,"9,86","5,58","12,71","7,93","1,60",1,Standart Sakinler
KİRAZ,İĞDELİ,"24,27","19,24","34,87","18,99","1,84",0,Yazlıkçı / Mevsimsel
KİRAZ,ŞEMSİLER,"25,70","19,72","34,28","19,07","1,80",0,Yazlıkçı / Mevsimsel
MENDERES,AHMETBEYLİ,"10,41","4,59","13,36","9,16","1,46",1,Standart Sakinler
MENDERES,AKÇAKÖY,"18,36","13,87","25,10","12,36","2,03",0,Yazlıkçı / Mevsimsel
MENDERES,ALTINTEPE,"13,56","7,58","13,33","11,74","1,14",1,Standart Sakinler
MENDERES,ATA,"9,27","5,26","10,08","7,85","1,28",1,Standart Sakinler
MENDERES,ATAKÖY,"21,90","15,13","27,86","20,62","1,35",1,Standart Sakinler
MENDERES,BARBAROS,"12,46","5,30","14,05","10,72","1,31",1,Standart Sakinler
MENDERES,BULGURCA,"22,11","10,26","30,03","15,33","1,96",0,Yazlıkçı / Mevsimsel
MENDERES,CÜNEYTBEY,"11,54","7,23","11,65","9,70","1,20",1,Standart Sakinler
MENDERES,DEREKÖY,"12,74","6,73","15,47","12,05","1,28",1,Standart Sakinler
MENDERES,DEVELİ,"27,17","17,57","32,72","25,59","1,28",1,Standart Sakinler
MENDERES,DEĞİRMENDERE,"14,64","26,00","23,62","9,13","2,59",0,Yazlıkçı / Mevsimsel
MENDERES,EFEMÇUKURU,"24,79","12,93","29,88","19,16","1,56",1,Standart Sakinler
MENDERES,GAZİPAŞA,"11,36","4,18","12,64","9,85","1,28",1,Standart Sakinler
MENDERES,GÖLCÜKLER,"12,58","5,55","13,67","10,59","1,29",1,Standart Sakinler
MENDERES,GÖLOVA,"20,23","15,11","27,05","9,85","2,75",0,Yazlıkçı / Mevsimsel
MENDERES,GÖRECE CUMHURİYET,"12,90","5,13","15,09","10,34","1,46",1,Standart Sakinler
MENDERES,GÜMÜLDÜR ATATÜRK,"10,21","3,63","13,61","8,80","1,55",1,Standart Sakinler
MENDERES,GÜMÜLDÜR CUMHURİYET,"11,48","6,57","16,23","7,65","2,12",0,Yazlıkçı / Mevsimsel
MENDERES,GÜMÜLDÜR FEVZİ ÇAKMAK,"10,69","5,96","11,81","8,94","1,32",1,Standart Sakinler
MENDERES,GÜMÜLDÜR İNÖNÜ,"8,88","6,06","11,13","6,87","1,62",1,Standart Sakinler
MENDERES,HÜRRİYET,"8,66","5,66","8,50","7,54","1,13",1,Standart Sakinler
MENDERES,KARAKUYU,"48,06","125,35","68,25","19,65","3,47",0,Yazlıkçı / Mevsimsel
MENDERES,KASIMPAŞA,"11,38","4,74","11,96","10,03","1,19",1,Standart Sakinler
MENDERES,KEMALPAŞA,"11,74","5,73","12,16","10,39","1,17",1,Standart Sakinler
MENDERES,KISIK,"24,91","26,36","28,13","17,82","1,58",1,Standart Sakinler
MENDERES,KUYUCAK,"20,40","15,76","32,57","10,11","3,22",0,Yazlıkçı / Mevsimsel
MENDERES,KÖYİÇİ,"24,40","22,78","32,00","15,88","2,02",0,Yazlıkçı / Mevsimsel
MENDERES,KÜNER,"38,83","141,21","85,10","19,69","4,32",0,Yazlıkçı / Mevsimsel
MENDERES,MİTHATPAŞA,"12,09","5,11","12,66","10,70","1,18",1,Standart Sakinler
MENDERES,ORTA,"9,10","4,39","11,98","6,66","1,80",1,Standart Sakinler
MENDERES,OĞLANANASI ATATÜRK,"13,70","4,37","16,46","11,34","1,45",1,Standart Sakinler
MENDERES,OĞLANANASI CUMHURİYET,"14,27","14,77","14,99","11,20","1,34",1,Standart Sakinler
MENDERES,SANCAKLI,"29,41","58,32","26,61","45,51","0,58",3,Yüksek Gelir / Çok Tüketen
MENDERES,TEKELİ ATATÜRK,"13,07","6,88","15,10","10,58","1,43",1,Standart Sakinler
MENDERES,TEKELİ FEVZİ ÇAKMAK,"12,84","14,40","13,76","14,56","0,95",1,Standart Sakinler
MENDERES,YENİKÖY,"16,06","9,48","18,92","12,41","1,52",1,Standart Sakinler
MENDERES,ÇAKALTEPE,"29,51","33,45","41,55","14,37","2,89",0,Yazlıkçı / Mevsimsel
MENDERES,ÇAMÖNÜ,"27,14","16,13","32,46","24,26","1,34",1,Standart Sakinler
MENDERES,ÇATALCA,"20,99","11,66","24,39","16,70","1,46",1,Standart Sakinler
MENDERES,ÇUKURALTI,"8,73","4,84","11,06","6,46","1,71",1,Standart Sakinler
MENDERES,ÇİLE,"30,37","43,56","30,45","17,51","1,74",0,Yazlıkçı / Mevsimsel
MENDERES,ÇİLEME,"24,10","13,12","29,62","17,99","1,65",1,Standart Sakinler
MENDERES,ÖZDERE CUMHURİYET,"11,89","4,82","14,78","9,75","1,52",1,Standart Sakinler
MENDERES,ŞAŞAL,"34,74","29,27","47,07","24,82","1,90",0,Yazlıkçı / Mevsimsel
MENEMEN,29 Ekim,"11,37","5,73","12,83","9,70","1,32",1,Standart Sakinler
MENEMEN,30 Ağustos,"11,86","6,31","12,98","10,41","1,25",1,Standart Sakinler
MENEMEN,75.YIL CUMHURİYET,"14,43","5,18","19,63","11,39","1,72",1,Standart Sakinler
MENEMEN,85.YIL CUMHURİYET,"12,50","7,98","14,94","9,22","1,62",1,Standart Sakinler
MENEMEN,9 Eylül,"17,23","6,72","19,85","15,03","1,32",1,Standart Sakinler
MENEMEN,AHIHIDIR,"13,86","4,39","16,06","11,94","1,34",1,Standart Sakinler
MENEMEN,ALANİÇİ,"24,98","17,18","32,62","21,04","1,55",1,Standart Sakinler
MENEMEN,ATATÜRK,"11,71","5,42","12,92","10,86","1,19",1,Standart Sakinler
MENEMEN,AYVACIK,"23,55","16,25","31,48","17,28","1,82",0,Yazlıkçı / Mevsimsel
MENEMEN,BAĞCILAR,"28,96","22,95","47,48","13,33","3,56",0,Yazlıkçı / Mevsimsel
MENEMEN,BELEN,"19,11","13,03","27,19","12,42","2,19",0,Yazlıkçı / Mevsimsel
MENEMEN,BOZALAN,"16,04","9,69","21,43","12,91","1,66",1,Standart Sakinler
MENEMEN,BURUNCUK,"15,29","8,04","19,99","10,87","1,84",1,Standart Sakinler
MENEMEN,CAMİİKEBİR,"11,38","5,20","12,25","10,25","1,20",1,Standart Sakinler
MENEMEN,CUMHURİYET,"17,17","6,76","18,91","15,66","1,21",1,Standart Sakinler
MENEMEN,DEĞİRMENDERE,"10,48","4,84","12,50","8,16","1,53",1,Standart Sakinler
MENEMEN,DOĞA,"18,55","11,97","24,11","14,03","1,72",1,Standart Sakinler
MENEMEN,EMİRALEM MERKEZ,"11,49","4,67","14,34","8,83","1,62",1,Standart Sakinler
MENEMEN,ESATPAŞA,"11,52","9,41","11,03","10,47","1,05",1,Standart Sakinler
MENEMEN,FATİH,"11,76","5,19","14,42","9,49","1,52",1,Standart Sakinler
MENEMEN,GAYBİ,"10,54","2,71","11,86","10,25","1,16",1,Standart Sakinler
MENEMEN,GAZİ,"11,82","5,28","12,67","10,21","1,24",1,Standart Sakinler
MENEMEN,GAZİ MUSTAFA KEMAL,"12,03","10,45","15,94","8,58","1,86",1,Standart Sakinler
MENEMEN,GÖKTEPE,"16,82","9,50","21,34","12,02","1,77",1,Standart Sakinler
MENEMEN,GÖLCÜK,"12,96","4,70","14,61","11,21","1,30",1,Standart Sakinler
MENEMEN,GÖRECE,"17,39","15,97","24,20","11,18","2,16",0,Yazlıkçı / Mevsimsel
MENEMEN,GÜNERLİ,"13,07","5,99","18,20","9,63","1,89",0,Yazlıkçı / Mevsimsel
MENEMEN,HASANLAR,"17,32","10,42","24,01","11,37","2,11",0,Yazlıkçı / Mevsimsel
MENEMEN,HATUNDERE,"18,24","13,58","28,72","11,69","2,46",0,Yazlıkçı / Mevsimsel
MENEMEN,HAYKIRAN,"15,76","10,58","19,22","11,21","1,71",1,Standart Sakinler
MENEMEN,IRMAK,"12,14","5,61","13,30","10,43","1,28",1,Standart Sakinler
MENEMEN,KASIMPAŞA,"10,92","4,85","11,13","10,43","1,07",1,Standart Sakinler
MENEMEN,KAZIMPAŞA,"12,91","4,71","14,33","12,02","1,19",1,Standart Sakinler
MENEMEN,KEMAL ATATÜRK,"12,33","5,80","13,48","11,00","1,23",1,Standart Sakinler
MENEMEN,KESİK,"14,09","10,35","19,22","9,78","1,97",0,Yazlıkçı / Mevsimsel
MENEMEN,KIR,"9,04","3,10","11,52","7,26","1,59",1,Standart Sakinler
MENEMEN,MERMERLİ,"11,45","5,97","11,43","11,07","1,03",1,Standart Sakinler
MENEMEN,MUSABEY,"25,83","38,04","31,59","29,70","1,06",1,Standart Sakinler
MENEMEN,MUSTAFA KEMAL ATATÜRK,"12,14","3,67","15,68","9,80","1,60",1,Standart Sakinler
MENEMEN,SEYDİNNASRULLAH,"12,48","5,52","14,97","10,53","1,42",1,Standart Sakinler
MENEMEN,SÜLEYMANLI,"17,41","13,43","23,20","12,35","1,88",0,Yazlıkçı / Mevsimsel
MENEMEN,SÜZBEYLİ,"10,05","8,77","14,23","8,67","1,64",1,Standart Sakinler
MENEMEN,TELEKLER,"16,51","11,54","23,70","8,84","2,68",0,Yazlıkçı / Mevsimsel
MENEMEN,TUZÇULLU,"15,76","7,10","23,09","11,53","2,00",0,Yazlıkçı / Mevsimsel
MENEMEN,TÜLBENTLİ,"10,91","4,41","11,75","10,22","1,15",1,Standart Sakinler
MENEMEN,ULUS,"11,51","5,54","13,01","9,80","1,33",1,Standart Sakinler
MENEMEN,UĞUR MUMCU,"11,88","5,54","12,21","10,57","1,16",1,Standart Sakinler
MENEMEN,VİLLAKENT,"13,37","6,97","17,93","9,64","1,86",1,Standart Sakinler
MENEMEN,YAHŞELLİ,"16,81","6,80","19,63","13,76","1,43",1,Standart Sakinler
MENEMEN,YANIKKÖY,"22,80","16,91","28,76","16,74","1,72",1,Standart Sakinler
MENEMEN,YAYLA,"12,86","26,20","12,83","7,99","1,61",1,Standart Sakinler
MENEMEN,YEŞİL PINAR,"13,24","7,31","13,58","12,23","1,11",1,Standart Sakinler
MENEMEN,YILDIRIM,"11,63","3,49","14,58","9,92","1,47",1,Standart Sakinler
MENEMEN,ZAFER,"12,88","8,06","13,88","12,16","1,14",1,Standart Sakinler
MENEMEN,ZEYTİNLİK,"11,33","5,24","12,14","9,88","1,23",1,Standart Sakinler
MENEMEN,ÇALTI,"21,24","14,70","30,03","13,64","2,20",0,Yazlıkçı / Mevsimsel
MENEMEN,ÇAVUŞ,"21,04","37,03","37,16","12,46","2,98",0,Yazlıkçı / Mevsimsel
MENEMEN,ÇUKURKÖY,"18,96","15,39","22,06","15,51","1,42",1,Standart Sakinler
MENEMEN,İNCİRLİ PINAR,"12,73","4,71","14,19","11,17","1,27",1,Standart Sakinler
MENEMEN,İNÖNÜ,"10,98","7,12","13,30","8,49","1,57",1,Standart Sakinler
MENEMEN,İSMET İNÖNÜ,"11,83","5,76","12,31","10,16","1,21",1,Standart Sakinler
MENEMEN,İSTİKLAL,"15,96","6,99","17,67","14,04","1,26",1,Standart Sakinler
MENEMEN,İĞNEDERE,"15,17","9,20","21,98","10,50","2,09",0,Yazlıkçı / Mevsimsel
NARLIDERE,2. İNÖNÜ,"14,98","7,98","15,76","13,72","1,15",1,Standart Sakinler
NARLIDERE,ALTIEVLER,"26,14","18,27","31,19","19,49","1,60",1,Standart Sakinler
NARLIDERE,ATATÜRK,"19,63","5,46","22,26","17,25","1,29",1,Standart Sakinler
NARLIDERE,HUZUR,"13,92","6,55","13,71","12,81","1,07",1,Standart Sakinler
NARLIDERE,ILICA,"14,88","4,75","15,29","14,12","1,08",1,Standart Sakinler
NARLIDERE,LİMANREİS,"13,59","4,57","15,46","11,68","1,32",1,Standart Sakinler
NARLIDERE,NARLI,"13,22","16,38","11,99","10,74","1,12",1,Standart Sakinler
NARLIDERE,SAHİLEVLERİ,"22,53","8,14","25,46","19,11","1,33",1,Standart Sakinler
NARLIDERE,YENİKALE,"18,08","14,62","16,19","16,86","0,96",1,Standart Sakinler
NARLIDERE,ÇAMTEPE,"11,47","4,30","11,98","10,60","1,13",1,Standart Sakinler
NARLIDERE,ÇATALKAYA,"11,34","5,05","11,85","10,28","1,15",1,Standart Sakinler
SEFERİHİSAR,AKARCA,"13,12","4,07","17,26","10,18","1,70",1,Standart Sakinler
SEFERİHİSAR,ATATÜRK,"26,53","124,86","19,01","10,68","1,78",3,Yüksek Gelir / Çok Tüketen
SEFERİHİSAR,BENGİLER,"10,02","5,72","12,49","7,56","1,65",1,Standart Sakinler
SEFERİHİSAR,BEYLER,"11,74","11,00","13,76","8,11","1,70",1,Standart Sakinler
SEFERİHİSAR,CAMİKEBİR,"10,24","3,77","11,16","9,03","1,24",1,Standart Sakinler
SEFERİHİSAR,CUMHURİYET,"11,01","16,25","14,49","5,97","2,43",0,Yazlıkçı / Mevsimsel
SEFERİHİSAR,DÜZCE,"20,44","12,16","29,67","12,75","2,33",0,Yazlıkçı / Mevsimsel
SEFERİHİSAR,GÖDENCE,"13,08","4,31","17,00","10,50","1,62",1,Standart Sakinler
SEFERİHİSAR,GÖLCÜK,"18,23","8,32","26,38","11,92","2,21",0,Yazlıkçı / Mevsimsel
SEFERİHİSAR,HIDIRLIK,"10,40","4,94","10,98","9,00","1,22",1,Standart Sakinler
SEFERİHİSAR,KAVAKDERE,"20,17","8,71","27,23","15,50","1,76",1,Standart Sakinler
SEFERİHİSAR,MERSİN ALANI,"10,18","5,04","13,90","7,58","1,84",1,Standart Sakinler
SEFERİHİSAR,ORHANLI,"16,08","8,88","21,28","11,35","1,87",0,Yazlıkçı / Mevsimsel
SEFERİHİSAR,PAYAMLI,"9,58","5,96","12,62","6,62","1,91",1,Standart Sakinler
SEFERİHİSAR,SIĞACIK,"10,58","5,06","12,73","8,07","1,58",1,Standart Sakinler
SEFERİHİSAR,TEPECİK,"12,71","5,76","15,80","9,96","1,59",1,Standart Sakinler
SEFERİHİSAR,TURABİYE,"10,85","4,46","11,58","9,62","1,20",1,Standart Sakinler
SEFERİHİSAR,TURGUT,"22,88","10,00","33,92","15,04","2,25",0,Yazlıkçı / Mevsimsel
SEFERİHİSAR,ULAMIŞ,"20,64","9,28","29,21","13,70","2,13",0,Yazlıkçı / Mevsimsel
SEFERİHİSAR,ÇAMTEPE,"11,14","3,88","14,51","8,63","1,68",1,Standart Sakinler
SEFERİHİSAR,ÇOLAK İBRAHİM BEY,"10,82","5,05","11,92","9,21","1,29",1,Standart Sakinler
SEFERİHİSAR,İHSANİYE,"20,09","12,57","27,69","14,69","1,88",0,Yazlıkçı / Mevsimsel
SELÇUK,14 Mayıs,"11,06","5,99","12,03","9,08","1,32",1,Standart Sakinler
SELÇUK,ACARLAR,"15,28","8,54","20,01","11,61","1,72",1,Standart Sakinler
SELÇUK,ATATÜRK,"9,93","2,93","11,23","8,68","1,29",1,Standart Sakinler
SELÇUK,BARUTÇU,"13,81","8,04","22,30","7,71","2,89",0,Yazlıkçı / Mevsimsel
SELÇUK,BELEVİ,"13,09","7,36","18,90","8,98","2,11",0,Yazlıkçı / Mevsimsel
SELÇUK,CUMHURİYET,"10,35","2,85","11,70","9,11","1,28",1,Standart Sakinler
