ILCE,MAHALLE,Ortalama_Tuketim,Standart_Sapma,Yaz_Ortalama,Kis_Ortalama,Yazlikci_Skoru,Kume_No,Segment_Adi
KARABURUN,KÜÇÜKBAHÇE,"30,59","33,30","31,34","37,50","0,84",3,Yüksek Gelir / Çok Tüketen
KARABURUN,MERKEZ,"11,84","5,80","14,24","9,54","1,49",1,Standart Sakinler
KARABURUN,MORDOĞAN,"15,06","14,44","17,93","13,12","1,37",1,Standart Sakinler
KARABURUN,PARLAK,"16,84","17,93","20,21","14,60","1,38",1,Standart Sakinler
KARABURUN,SALMAN,"20,72","22,97","26,78","18,55","1,44",1,Standart Sakinler
KARABURUN,SARPINCIK,"11,67","8,53","14,34","9,69","1,48",1,Standart Sakinler
KARABURUN,SAİP,"15,56","11,46","21,83","11,15","1,96",0,Yazlıkçı / Mevsimsel
KARABURUN,TEPEBOZ,"14,97","13,02","17,96","13,65","1,32",1,Standart Sakinler
KARABURUN,YAYLA,"10,86","9,73","13,23","10,28","1,29",1,Standart Sakinler
KARABURUN,İNECİK,"17,96","26,98","23,46","16,02","1,46",1,Standart Sakinler
KARABURUN,İSKELE,"11,15","5,98","14,65","8,96","1,63",1,Standart Sakinler
KARŞIYAKA,AKSOY,"9,53","5,28","8,88","8,76","1,01",1,Standart Sakinler
KARŞIYAKA,ALAYBEY,"9,21","4,93","8,90","8,35","1,07",1,Standart Sakinler
KARŞIYAKA,ATAKENT,"23,93","6,55","23,74","24,52","0,97",1,Standart Sakinler
KARŞIYAKA,BAHARİYE,"9,19","3,64","9,11","8,63","1,06",1,Standart Sakinler
KARŞIYAKA,BAHRİYE ÜÇOK,"9,62","5,56","8,95","8,87","1,01",1,Standart Sakinler
KARŞIYAKA,BAHÇELİEVLER,"10,65","5,79","10,06","9,77","1,03",1,Standart Sakinler
KARŞIYAKA,BOSTANLI,"10,28","5,34","9,54","9,62","0,99",1,Standart Sakinler
KARŞIYAKA,CUMHURİYET,"11,99","5,23","13,33","10,02","1,33",1,Standart Sakinler
KARŞIYAKA,DEDEBAŞI,"11,04","7,82","10,49","10,13","1,04",1,Standart Sakinler
KARŞIYAKA,DEMİRKÖPRÜ,"11,84","6,69","11,10","10,89","1,02",1,Standart Sakinler
KARŞIYAKA,DONANMACI,"10,12","4,55","9,62","9,41","1,02",1,Standart Sakinler
KARŞIYAKA,FİKRİ ALTAY,"11,41","5,88","10,95","10,51","1,04",1,Standart Sakinler
KARŞIYAKA,GONCALAR,"10,65","5,38","10,22","9,72","1,05",1,Standart Sakinler
KARŞIYAKA,KARŞIYAKA,"14,82","6,65","16,32","13,35","1,22",1,Standart Sakinler
